"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-01 00:00:00,="MAC030004001",1,"Channel 1",2,"South",735,16,"Holiday",,
2018-01-01 00:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004001",1,"Channel 1",2,"South",836,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004001",1,"Channel 1",2,"South",740,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004001",1,"Channel 1",2,"South",640,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004001",1,"Channel 1",2,"South",577,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004001",1,"Channel 1",2,"South",499,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004001",1,"Channel 1",2,"South",496,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004001",1,"Channel 1",2,"South",358,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004001",1,"Channel 1",2,"South",352,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004001",1,"Channel 1",2,"South",362,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004001",1,"Channel 1",2,"South",364,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004001",1,"Channel 1",2,"South",619,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004001",1,"Channel 1",2,"South",774,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004001",1,"Channel 1",2,"South",809,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004001",1,"Channel 1",2,"South",889,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004001",1,"Channel 1",2,"South",901,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004001",1,"Channel 1",2,"South",852,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004001",1,"Channel 1",2,"South",787,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 18:00:00,="MAC030004001",1,"Channel 1",2,"South",737,16,"Holiday",,
2018-01-01 18:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 19:00:00,="MAC030004001",1,"Channel 1",2,"South",654,16,"Holiday",,
2018-01-01 19:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 20:00:00,="MAC030004001",1,"Channel 1",2,"South",644,16,"Holiday",,
2018-01-01 20:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 21:00:00,="MAC030004001",1,"Channel 1",2,"South",592,16,"Holiday",,
2018-01-01 21:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 22:00:00,="MAC030004001",1,"Channel 1",2,"South",492,16,"Holiday",,
2018-01-01 22:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-01 23:00:00,="MAC030004001",1,"Channel 1",2,"South",353,16,"Holiday",,
2018-01-01 23:00:00,="MAC030004001",2,"Channel 2",2,"South",0,16,"Holiday",,
2018-01-02 00:00:00,="MAC030004001",1,"Channel 1",2,"South",265,0,"",,
2018-01-02 00:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 01:00:00,="MAC030004001",1,"Channel 1",2,"South",226,0,"",,
2018-01-02 01:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 02:00:00,="MAC030004001",1,"Channel 1",2,"South",184,0,"",,
2018-01-02 02:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 03:00:00,="MAC030004001",1,"Channel 1",2,"South",169,0,"",,
2018-01-02 03:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
