"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-03-15 11:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6810,0,"",,
2018-03-15 11:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 12:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6889,0,"",,
2018-03-15 12:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 13:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7094,0,"",,
2018-03-15 13:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 14:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6985,0,"",,
2018-03-15 14:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 15:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7423,0,"",,
2018-03-15 15:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 16:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",8368,0,"",,
2018-03-15 16:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 17:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7813,0,"",,
2018-03-15 17:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 18:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7722,0,"",,
2018-03-15 18:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 19:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6254,0,"",,
2018-03-15 19:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 20:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5856,0,"",,
2018-03-15 20:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 21:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5572,0,"",,
2018-03-15 21:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 22:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6020,0,"",,
2018-03-15 22:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-15 23:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5132,0,"",,
2018-03-15 23:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 00:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5476,0,"",,
2018-03-16 00:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 01:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5124,0,"",,
2018-03-16 01:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 02:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4798,0,"",,
2018-03-16 02:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 03:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5047,0,"",,
2018-03-16 03:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 04:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5113,0,"",,
2018-03-16 04:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 05:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5238,0,"",,
2018-03-16 05:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 06:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6858,0,"",,
2018-03-16 06:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 07:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7107,0,"",,
2018-03-16 07:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 08:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7558,0,"",,
2018-03-16 08:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 09:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6623,0,"",,
2018-03-16 09:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 10:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6717,0,"",,
2018-03-16 10:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 11:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7261,0,"",,
2018-03-16 11:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 12:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6958,0,"",,
2018-03-16 12:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 13:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7342,0,"",,
2018-03-16 13:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
