"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2019-01-01 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1126,16,"Holiday",,
2019-01-01 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1055,16,"Holiday",,
2019-01-01 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1081,16,"Holiday",,
2019-01-01 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 17:00:00,="MAC030004404",1,"Channel 1",2,"East",1079,16,"Holiday",,
2019-01-01 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 18:00:00,="MAC030004404",1,"Channel 1",2,"East",1061,16,"Holiday",,
2019-01-01 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 19:00:00,="MAC030004404",1,"Channel 1",2,"East",920,16,"Holiday",,
2019-01-01 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 20:00:00,="MAC030004404",1,"Channel 1",2,"East",948,16,"Holiday",,
2019-01-01 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 21:00:00,="MAC030004404",1,"Channel 1",2,"East",724,16,"Holiday",,
2019-01-01 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 22:00:00,="MAC030004404",1,"Channel 1",2,"East",675,16,"Holiday",,
2019-01-01 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-01 23:00:00,="MAC030004404",1,"Channel 1",2,"East",451,16,"Holiday",,
2019-01-01 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,16,"Holiday",,
2019-01-08 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1396,0,"",,
2019-01-08 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1353,0,"",,
2019-01-08 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1287,0,"",,
2019-01-08 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1266,0,"",,
2019-01-08 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 16:00:00,="MAC030004404",1,"Channel 1",2,"East",975,0,"",,
2019-01-08 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 17:00:00,="MAC030004404",1,"Channel 1",2,"East",827,0,"",,
2019-01-08 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 18:00:00,="MAC030004404",1,"Channel 1",2,"East",1033,0,"",,
2019-01-08 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 19:00:00,="MAC030004404",1,"Channel 1",2,"East",980,0,"",,
2019-01-08 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 20:00:00,="MAC030004404",1,"Channel 1",2,"East",965,0,"",,
2019-01-08 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 21:00:00,="MAC030004404",1,"Channel 1",2,"East",829,0,"",,
2019-01-08 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 22:00:00,="MAC030004404",1,"Channel 1",2,"East",702,0,"",,
2019-01-08 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-08 23:00:00,="MAC030004404",1,"Channel 1",2,"East",414,0,"",,
2019-01-08 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1515,0,"",,
2019-01-09 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1389,0,"",,
2019-01-09 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1537,0,"",,
2019-01-09 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1325,0,"",,
2019-01-09 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1177,0,"",,
2019-01-09 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1007,0,"",,
2019-01-09 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 17:00:00,="MAC030004404",1,"Channel 1",2,"East",895,0,"",,
2019-01-09 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 18:00:00,="MAC030004404",1,"Channel 1",2,"East",1011,0,"",,
2019-01-09 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 19:00:00,="MAC030004404",1,"Channel 1",2,"East",1022,0,"",,
2019-01-09 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 20:00:00,="MAC030004404",1,"Channel 1",2,"East",910,0,"",,
2019-01-09 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 21:00:00,="MAC030004404",1,"Channel 1",2,"East",868,0,"",,
2019-01-09 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 22:00:00,="MAC030004404",1,"Channel 1",2,"East",870,0,"",,
2019-01-09 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-09 23:00:00,="MAC030004404",1,"Channel 1",2,"East",528,0,"",,
2019-01-09 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-14 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1403,0,"",,
2019-01-14 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-14 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1533,0,"",,
2019-01-14 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-14 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1541,0,"",,
2019-01-14 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-14 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1502,0,"",,
2019-01-14 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-16 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1240,0,"",,
2019-01-16 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-16 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1194,0,"",,
2019-01-16 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-16 16:00:00,="MAC030004404",1,"Channel 1",2,"East",1064,0,"",,
2019-01-16 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 10:00:00,="MAC030004404",1,"Channel 1",2,"East",1534,0,"",,
2019-01-17 10:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1538,0,"",,
2019-01-17 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1305,0,"",,
2019-01-17 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1303,0,"",,
2019-01-17 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1441,0,"",,
2019-01-17 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1199,0,"",,
2019-01-17 15:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 16:00:00,="MAC030004404",1,"Channel 1",2,"East",932,0,"",,
2019-01-17 16:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 17:00:00,="MAC030004404",1,"Channel 1",2,"East",836,0,"",,
2019-01-17 17:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 18:00:00,="MAC030004404",1,"Channel 1",2,"East",889,0,"",,
2019-01-17 18:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 19:00:00,="MAC030004404",1,"Channel 1",2,"East",1065,0,"",,
2019-01-17 19:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 20:00:00,="MAC030004404",1,"Channel 1",2,"East",1040,0,"",,
2019-01-17 20:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 21:00:00,="MAC030004404",1,"Channel 1",2,"East",942,0,"",,
2019-01-17 21:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 22:00:00,="MAC030004404",1,"Channel 1",2,"East",808,0,"",,
2019-01-17 22:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-17 23:00:00,="MAC030004404",1,"Channel 1",2,"East",474,0,"",,
2019-01-17 23:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-20 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1102,0,"",,
2019-01-20 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-20 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1208,0,"",,
2019-01-20 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-20 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1211,0,"",,
2019-01-20 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-20 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1097,0,"",,
2019-01-20 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 11:00:00,="MAC030004404",1,"Channel 1",2,"East",1568,0,"",,
2019-01-21 11:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 12:00:00,="MAC030004404",1,"Channel 1",2,"East",1517,0,"",,
2019-01-21 12:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 13:00:00,="MAC030004404",1,"Channel 1",2,"East",1533,0,"",,
2019-01-21 13:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 14:00:00,="MAC030004404",1,"Channel 1",2,"East",1541,0,"",,
2019-01-21 14:00:00,="MAC030004404",2,"Channel 2",2,"East",0,0,"",,
2019-01-21 15:00:00,="MAC030004404",1,"Channel 1",2,"East",1221,0,"",,
